Subject ID,Games,Decisions,NLL (Random model)
A115:R_2SIX12SOZtVB5hi,35,235,773.2453705282697
A259:R_2qDxofDzXoJdsd5,35,188,640.0550191897289
883:R_b255PQj1bstkMjD,34,245,800.8724742727397
353:R_poraw4AzFhTIAxP,35,260,829.7783403450974
893:R_0UL4gyg02Zovjjz,35,218,724.4096484168754
A217:R_2OJ7PZqh9U4UvDS,35,221,730.5994754813358
560:R_WxOwlLd4093w8lH,35,210,701.6780910663568
436:R_UYNV3EWWRV3lLoZ,35,221,725.1392544204854
342:R_3mmldwGes6cKAa2,35,247,791.9250269705728
309:R_2YRtckLmarTUiRn,35,206,698.9026579048748
372:R_Pwksr0eXcbCEd8d,35,269,877.4954860496659
449:R_2bWfpiDHdXVr7kL,35,251,814.8322998525077
388:R_dpq89nsKJ0JiXRL,35,293,941.2145931154533
889:R_1lbZpf1sOuV5qV6,35,189,635.9429954731118
442:R_3Ld88EjI8BWuUys,35,201,680.640417053657
459:R_3h3FwGmfU7ntaRK,35,218,721.4930415864621
311:R_3pgcvaDmcvM4aTR,35,189,644.7111645513074
