subject_ID,Gender,ExactAge,FlooredAge,Connect4DataChecked,MARSDataChecked,QualtricsDataChecked,ConsentFormEnd,FOSEnd,TotalStudyTime,LatestOtherMaRSDate,TimeBetweenMaRS,What is your race?:,Are you Hispanic?:
187,F,13.3507,13,Y,Y,Y,12/1/20 14:17,12/1/20 16:14,1:57:26,6/9/20,175,Caucasian/White,No
192,M,14.8329,14,Y,Y,Y,12/4/20 10:37,12/4/20 11:08,0:31:13,NA,NA,Caucasian/White,No
199,M,14.6658,14,Y,Y,Y,12/4/20 11:40,12/4/20 12:11,0:30:59,6/15/20,172,Caucasian/White,No
201,M,12.6082,12,Y,Y,Y,12/4/20 13:45,12/4/20 14:19,0:34:04,6/15/20,172,Caucasian/White,No
202,M,13.2877,13,Y,Y,Y,11/30/20 14:41,11/30/20 15:06,0:24:23,6/9/20,174,Caucasian/White,No
200,F,9.0301,9,Y,Y,Y,12/4/20 14:02,12/4/20 14:38,0:36:32,NA,NA,Caucasian/White,No
194,F,9.3014,9,Y,Y,Y,12/4/20 14:35,12/4/20 15:02,0:26:38,6/6/20,181,Mixed Race,No
196,F,11.5205,11,Y,Y,Y,11/30/20 9:46,11/30/20 10:16,0:29:43,NA,NA,Mixed Race,Yes
197,F,11.189,11,Y,Y,Y,12/1/20 16:36,12/1/20 17:08,0:32:04,6/10/20,174,Mixed Race,No
179,M,10.3123,10,Y,Y,Y,11/30/20 9:56,11/30/20 10:28,0:32:15,6/2/20,181,NA,Yes
250,M,17.2055,17,Y,Y,Y,12/6/20 18:03,12/6/20 19:11,1:08:03,6/13/20,176,Mixed Race,No
273,M,17.1945,17,Y,Y,Y,12/1/20 10:10,12/1/20 10:39,0:29:29,6/16/20,168,Asian,No
281,F,17.4411,17,Y,Y,Y,12/1/20 13:08,12/1/20 13:40,0:32:12,6/16/20,168,Caucasian/White,No
290,M,17.0904,17,Y,Y,Y,11/30/20 21:33,11/30/20 22:21,0:48:25,6/19/20,164,Caucasian/White,No
305,F,17.8575,17,Y,Y,Y,11/30/20 19:33,11/30/20 20:08,0:34:55,NA,NA,Asian,No
842,F,17.2795,17,Y,Y,Y,12/2/20 14:48,12/2/20 15:17,0:29:37,NA,NA,Black/African American,Yes
846,F,13.7918,13,Y,Y,Y,12/6/20 18:28,12/6/20 18:58,0:30:02,NA,NA,Caucasian/White,Yes
858,F,15.674,15,Y,Y,Y,12/8/20 18:34,12/8/20 19:01,0:26:49,NA,NA,Asian,No
859,F,13.2,13,Y,Y,Y,12/7/20 15:38,12/7/20 16:06,0:28:25,NA,NA,Asian,No
844,M,10.0164,10,Y,Y,Y,12/5/20 14:36,12/5/20 15:05,0:28:48,NA,NA,Caucasian/White,No
849,F,11.6986,11,Y,Y,Y,12/3/20 13:29,12/3/20 13:56,0:26:42,NA,NA,Caucasian/White,Yes
856,M,10.6493,10,Y,Y,Y,12/3/20 14:01,12/3/20 14:32,0:30:42,NA,NA,Mixed Race,Yes
832,M,8.1233,8,Y,Y,Y,12/7/20 16:21,12/7/20 16:49,0:27:48,NA,NA,Asian,No
833,F,10.9233,10,Y,Y,Y,12/9/20 13:48,12/9/20 14:19,0:30:53,NA,NA,Caucasian/White,No
834,F,8.1288,8,Y,Y,Y,12/9/20 14:27,12/9/20 15:01,0:33:08,NA,NA,Caucasian/White,No
182,M,13.8877,13,Y,Y,Y,12/13/20 11:28,12/13/20 11:52,0:24:18,6/10/20,186,Asian,No
