subject,fold,planningDepth,featureDropRate,heuristicQuality,elo,ExactAge,FlooredAge,ageBinNr,ageBinValue
A197:R_24FNrEzIsOLhu9P,3,7.028786,0.442422,0.56753401,250,21.0274,21,2,21
A206:R_20NeIyNUzFyrwec,3,9.58659,0.221898,0.584502945,306,23.2986,23,2,21
A217:R_2OJ7PZqh9U4UvDS,3,5.019964,0.429646,0.534741216,117,25.3918,25,2,21
A242:R_ymscU32j53VKwil,3,5.788642,0.320622,0.518315645,251,21.7589,21,2,21
A259:R_2qDxofDzXoJdsd5,3,6.209756,0.1694854,0.524067868,255,25.8301,25,2,21
A290:R_pbj3IZMREKq4PTj,3,4.722768,0.297174,0.566776977,180,18.3479,18,2,21
A314:R_1mfw4bW019u3R2s,3,10.444874,0.27250862,0.516276475,405,18.874,18,2,21
A337:R_2Cp82k425UC0gZO,3,5.160304,0.355406,0.566052612,178,24.1973,24,2,21
A919:R_1gqDKLw9vYTuhE7,3,7.397368,0.324802,0.526337,214,22.1808,22,2,21
A927:R_1rNeL3pw39vXNRi,3,4.81366,0.397386,0.562098854,62,22.2192,22,2,21
A953:R_6gueSHxvF4UshlT,3,5.521186,0.643142,0.427176013,122,20.9918,20,2,21
