planning depth,feature drop rate,heuristic quality,elo,ExactAge,FlooredAge,ageBinNr,ageBinValue,subject
6.667348,0.498586,0.508521831,40,16.5562,16,1,15,291:R_3fq8dlBEbdOzPCb
6.919736,0.44645,0.437125592,107,13.0192,13,1,15,293:R_2aCAcRnL67iaV0l
2.54180576,0.369066,0.429482148,153,11.0055,11,0,10,294:R_2zP8FeEoub7z36i
4.279192,0.48747,0.486089046,-43,17.8575,17,1,15,305:R_WBOZ0yrZfLTCClz
4.146162,0.233998,0.582101114,283,15.9452,15,1,15,309:R_2YRtckLmarTUiRn
4.617940835,0.372266,0.552193118,156,16.3233,16,1,15,311:R_3pgcvaDmcvM4aTR
5.286888,0.258812,0.54309957,168,16.5781,16,1,15,329:R_23eNWjNjj4QQj6j
5.739362,0.22379192,0.574098043,104,11.8164,11,0,10,342:R_3mmldwGes6cKAa2
4.298876,0.352066,0.596706086,44,14.2219,14,1,15,353:R_poraw4AzFhTIAxP
16.263678,7.36E-05,0.059890265,-198,17.0712,17,1,15,372:R_Pwksr0eXcbCEd8d
6.493666,0.24502,0.626702924,284,17.337,17,1,15,388:R_dpq89nsKJ0JiXRL
14.832268,0.000296802,0.04221531,-187,8.326,8,0,10,423:R_2VEZT2fDPyNv1gm
13.529514,0.107196017,0.115107796,-127,9.3836,9,0,10,436:R_UYNV3EWWRV3lLoZ
6.728382516,0.209364203,0.394917741,107,12.1205,12,0,10,442:R_3Ld88EjI8BWuUys
7.45606,0.1643024,0.594711416,222,17.0274,17,1,15,449:R_2bWfpiDHdXVr7kL
4.418678,0.338782,0.532184977,220,15.2904,15,1,15,459:R_3h3FwGmfU7ntaRK
2.975268,0.357928,0.547196017,244,10.9726,10,0,10,511:R_1q7Lpr4tLzK3kHb
2.522204521,0.369714,0.547107651,78,10.8438,10,0,10,535:R_STCj0QvQgvLzWU1
7.56,0.442266,0.37549744,151,8.2274,8,0,10,560:R_WxOwlLd4093w8lH
1.53561392,0.288094,0.493749145,5,14.1753,14,1,15,804:R_3EsSw2YvrmJfDkB
3.077952,0.271922,0.513072519,-38,11.989,11,0,10,805:R_BDtiNRvCWgS3tlv
4.028052,0.589246,0.484319902,-29,8.3945,8,0,10,806:R_2y2vsNf1xM7cyDH
6.437488,0.201936,0.560097457,107,10.0411,10,0,10,810:R_2zjbTiTg8Eyyn0l
