,subject,fold,1,2,3,4,5,6,7,8,9,10
117,196:R_0voL9dLPRpILrS9,3,4.7912,0.87605,0.68012,0.073665,0.27005,0.79409,2.7368,3.0079,9.9477,9.7669
118,196:R_0voL9dLPRpILrS9,4,0.61356,0.0084497,0.55396,0.15506,0.47632,0.65467,0.93493,0.53752,7.0181,9.9309
119,196:R_0voL9dLPRpILrS9,5,1.3999,0.0052888,0.181,0.071386,0.28986,0.68121,0.8798,0.23384,3.6776,9.998
120,197:R_bqny5leXGykyp0t,1,2.8387,0.8924,0.46808,0.14382,0.25,0.58125,3.7782,1.6608,7.5121,9.9932
121,197:R_bqny5leXGykyp0t,2,3.7014,0.96308,0.57759,0.1451,0.25,0.73642,4.6546,-5.3916,9.7649,7.3865
122,197:R_bqny5leXGykyp0t,3,4.3549,0.97408,0.56441,0.26043,0.26586,0.7569,4.3989,-2.6699,9.9046,3.4179
123,197:R_bqny5leXGykyp0t,4,10,0.79237,0.56201,0.21906,0.25024,0.45898,5.7812,-5.459,9.1406,-5.2197
124,197:R_bqny5leXGykyp0t,5,4.9722,0.021787,0.37757,0.20827,0.26669,1.1826,3.2943,-3.7252,1.3105,1.6355
125,199:R_D1Afhly6eOCY66B,1,6.0537,0.0010672,0.08834,0.050001,0.25001,0.15852,1.7114,-0.73032,4.6456,8.5075
126,199:R_D1Afhly6eOCY66B,2,5.4617,0.001,0.16796,0.050002,0.8592,0.24948,1.5263,-0.034306,3.8428,9.4562
127,199:R_D1Afhly6eOCY66B,3,9.9989,0.0010763,0.13148,0.050001,0.25001,-0.099101,2.3262,-1.0481,7.1294,9.3006
128,199:R_D1Afhly6eOCY66B,4,9.8861,0.0010136,0.39922,0.050438,0.26092,-0.15962,3.4959,-2.5172,6.5497,6.2802
129,199:R_D1Afhly6eOCY66B,5,0.653,0.0012354,0.16167,0.052354,0.69494,0.1537,1.3767,0.72915,4.1142,9.942
130,200:R_1NCzjmN3Hl5r3HF,1,3.9066,0.004057,0.43896,0.099515,0.64474,0.45654,1.1898,-1.4871,3.901,9.9268
131,200:R_1NCzjmN3Hl5r3HF,2,6.4296,0.0010343,0.4026,0.19322,0.84378,0.57166,0.38766,0.41012,3.6531,9.9648
132,200:R_1NCzjmN3Hl5r3HF,3,0.31046,0.062036,0,0.051405,1.6474,-6.6984,-2.9889,7.3441,-6.4207,-1.0627
133,200:R_1NCzjmN3Hl5r3HF,4,2.3121,0.013482,0.42322,0.051846,0.60931,0.19165,0.9314,-0.448,3.1494,9.2798
134,200:R_1NCzjmN3Hl5r3HF,5,2.2014,0.0036686,0.33317,0.1561,0.60579,0.34039,0.96484,0.24239,4.2695,9.9559
135,201:R_3kzZPXnjFGbpt30,1,9.6139,0.001,0.49386,0.071555,1.0446,0.61621,0.80713,1.8021,6.3125,9.512
136,201:R_3kzZPXnjFGbpt30,2,3.1134,0.0013016,0.29604,0.070898,1.2532,0.44717,0.86778,0.69384,3.9333,10
137,201:R_3kzZPXnjFGbpt30,3,6.5662,0.0010748,0.63283,0.05062,1.166,0.73324,1.1,-1.0137,6.5793,9.9998
138,201:R_3kzZPXnjFGbpt30,4,0.62872,0.0084517,0.17054,0.050674,0.53593,0.53824,0.7786,0.67128,3.6171,9.7319
139,201:R_3kzZPXnjFGbpt30,5,1.2045,0.0052679,0.23445,0.050839,0.77419,0.41533,0.86896,0.71291,3.6404,9.2988
140,202:R_2OHMsGSLXJZG0Bc,1,1.9989,0.019989,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
141,202:R_2OHMsGSLXJZG0Bc,2,6.2042,0.0010285,0.59801,0.054236,0.41273,0.89333,2.411,-2.9712,5.2277,10
