,subject,fold,1,2,3,4,5,6,7,8,9,10
57,156:R_2TTetTXWqRwQOGb,3,0.48745,0.23392,0.50308,0.059132,1.1715,0.47875,1.2593,-1.349,3.8316,9.7406
58,156:R_2TTetTXWqRwQOGb,4,8.9638,0.79868,0.37346,0.10743,1.5402,0.38459,0.82445,-4.2689,3.913,8.4519
59,156:R_2TTetTXWqRwQOGb,5,0.13352,0.21098,0.50009,0.050191,1.1881,0.53949,1.0923,-0.57136,3.5101,9.2781
60,166:R_9Nac2hjg6u7BlS1,1,5.2014,0.020347,0.50111,0.058028,0.97962,0.16741,1.4522,-0.55312,4.4899,9.7883
61,166:R_9Nac2hjg6u7BlS1,2,1.3068,0.02124,0.50513,0.051483,0.81714,0.21973,1.1865,-0.2002,3.4375,9.6924
62,166:R_9Nac2hjg6u7BlS1,3,1.8125,0.022137,0.35814,0.05,0.60789,0.11182,1.2708,0.099732,4.7603,9.3692
63,166:R_9Nac2hjg6u7BlS1,4,2.1383,0.01185,0.28784,0.06781,0.30737,-0.014648,1.6504,0.083008,4.0918,9.668
64,166:R_9Nac2hjg6u7BlS1,5,1.9143,0.014462,0.28864,0.075477,0.40182,0.34854,1.4774,0.073846,3.3921,9.9999
65,171:R_1Qck2ykGDls2DLz,1,5.2751,0.0059455,0.38648,0.052633,0.8442,0.88489,1.1118,-0.029571,3.8766,6.942
66,171:R_1Qck2ykGDls2DLz,2,1.833,0.22281,0.23274,0.087986,0.64252,0.79169,1.3308,0.13856,2.8479,10
67,171:R_1Qck2ykGDls2DLz,3,3.0418,0.017813,0.28963,0.072721,0.96559,0.82665,1.2607,-0.28985,3.3863,8.9549
68,171:R_1Qck2ykGDls2DLz,4,4.8945,0.001106,0.57465,0.054386,0.25092,0.79883,2.4579,-0.72412,4.4863,10
69,171:R_1Qck2ykGDls2DLz,5,2.262,0.023146,0.3422,0.057058,0.86394,0.77249,1.1629,-0.069522,3.3643,9.5306
70,175:R_2vjnTMhG0Bpa7wq,1,0.72896,0.050983,0.20587,0.05,0.96371,0.71838,0.91961,0.71104,4.099,9.9919
71,175:R_2vjnTMhG0Bpa7wq,2,3.489,0.0010049,0.26882,0.050002,0.78833,0.73229,1.0243,0.040696,3.8603,9.9826
72,175:R_2vjnTMhG0Bpa7wq,3,2.0099,0.020045,0.20001,0.050005,1.1997,0.80196,0.99776,0.39825,3.4979,9.9986
73,175:R_2vjnTMhG0Bpa7wq,4,0.57333,0.93247,0.46034,0.05,0.81924,0.79314,1.1558,0.52945,5.211,9.967
74,175:R_2vjnTMhG0Bpa7wq,5,6.9852,0.0011748,0.18152,0.054682,0.83856,0.81251,0.93331,0.18305,3.1371,9.8352
75,179:R_2xV1IwgJyplwuvp,1,3.8197,0.45112,0.3877,0.28499,0.65527,1.0352,2.207,-3.1836,1.2305,1.3086
76,179:R_2xV1IwgJyplwuvp,2,1.4878,0.0216,0.60077,0.05065,1.0713,-2.2763e-05,1.4221,-0.85576,4.6888,10
77,179:R_2xV1IwgJyplwuvp,3,4.4104,0.0010492,0.49105,0.10725,1.1194,-0.13547,1.3713,-7.9936,3.4128,9.8907
78,179:R_2xV1IwgJyplwuvp,4,8.6675,0.34775,0.40403,0.11143,1.1087,0.62434,1.159,-1.0934,4.2206,6.1992
79,179:R_2xV1IwgJyplwuvp,5,3.8966,0.1553,0.34574,0.073515,1.1761,0.74432,0.85098,-1.3763,4.0742,6.4302
80,180:R_1OGFPUUh0z8rWBh,1,0.75736,0.1308,0.62141,0.05,1.839,0.34449,1.248,-2.0725,5.3494,9.6588
81,180:R_1OGFPUUh0z8rWBh,2,6.3768,0.33527,0.26206,0.056899,1.7881,0.3,0.88957,-2.5718,5.8062,9.9117
82,180:R_1OGFPUUh0z8rWBh,3,0.50001,0.25793,0.52582,0.088714,1.2795,0.24658,1.1975,-1.9714,5.1562,9.9158
83,180:R_1OGFPUUh0z8rWBh,4,0.10594,0.016173,0.34009,0.10163,1.0783,0.20174,0.83248,-1.2579,3.9627,9.9985
84,180:R_1OGFPUUh0z8rWBh,5,0.89567,0.041839,0.56079,0.082927,1.8572,0.58594,0.93262,-2.4512,5.0586,10
85,181:R_3fDgQlApbcv1n4e,1,2.2936,1,0.24766,0.05,1.3724,0.59885,0.71997,0.43161,3.4899,9.9999
86,181:R_3fDgQlApbcv1n4e,2,0.69135,0.98004,0.37351,0.050261,1.2357,0.52878,1.0499,0.52203,4.0473,8.9881
87,181:R_3fDgQlApbcv1n4e,3,0.52318,0.001,0.37827,0.050394,1.3505,0.4989,0.96021,0.31068,4.1459,9.9751
88,181:R_3fDgQlApbcv1n4e,4,0.63457,0.47886,0.19425,0.050035,1.0679,0.61453,0.94768,0.48202,4.2175,9.9923
89,181:R_3fDgQlApbcv1n4e,5,8.6465,0.87041,0.2704,0.055546,1.172,0.48624,0.89893,0.39297,4.8471,9.2528
90,182:R_3NEgCFlK1BFSmdZ,1,0.10043,0.12909,0.25015,0.05,1.0289,0.1542,1.2875,0.12559,3.7372,10
91,182:R_3NEgCFlK1BFSmdZ,2,0.21808,0.080636,0.29553,0.050174,1.342,0.097442,1.1197,-0.11045,3.6908,9.9997
92,182:R_3NEgCFlK1BFSmdZ,3,0.1,0.0014125,0.42642,0.050024,1.7608,0.13983,1.4814,0.0074577,4.6082,9.9911
93,182:R_3NEgCFlK1BFSmdZ,4,0.39108,0.0010109,0.2814,0.050729,1.2455,-0.18625,1.2252,-0.1764,4.144,9.9645
94,182:R_3NEgCFlK1BFSmdZ,5,0.81473,0.014253,0.32441,0.060798,1.4352,-0.064583,1.3511,-0.034818,4.4853,9.9841
95,183:R_2uPQbPniskmS0Ep,1,9.9837,0.99996,0.60125,0.050109,0.98829,0.14624,3.3174,-7.4447,9.9105,7.9105
96,183:R_2uPQbPniskmS0Ep,2,1.9989,0.63209,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
97,183:R_2uPQbPniskmS0Ep,3,4.2548,0.78922,0.43041,0.053814,0.90551,0.058931,1.4424,0.060492,4.7337,9.688
98,183:R_2uPQbPniskmS0Ep,4,9.6184,0.99999,0.3291,0.067077,0.81066,0.10278,1.3319,-0.65811,5.5279,9.9976
99,183:R_2uPQbPniskmS0Ep,5,2.3323,0.99706,0.38926,0.050579,0.99485,0.42523,1.2049,-1.0279,4.6481,9.9184
100,187:R_3oHOHstFKN4HiLA,1,2.4534,0.99972,0.27956,0.05,1.1979,-0.6228,1.1322,0.16916,4.9594,8.9612
101,187:R_3oHOHstFKN4HiLA,2,0.14234,0.98654,0.30424,0.051789,0.9989,-0.4396,1.472,0.22557,4.909,9.9692
102,187:R_3oHOHstFKN4HiLA,3,2.619,0.38591,0.30174,0.07883,1.1314,-0.45326,1.2928,0.0063992,4.6172,10
103,187:R_3oHOHstFKN4HiLA,4,1.7445,0.038497,0.1798,0.050395,1.1117,-0.53803,1.1053,0.49793,3.8176,9.2366
104,187:R_3oHOHstFKN4HiLA,5,0.69764,0.054451,0.16005,0.051023,0.98361,-0.53693,1.0739,0.12504,4.5544,9.974
105,192:R_1LeQOpZ9pat1k7D,1,5.8398,0.0024486,0.47167,0.05,1.8687,0.96434,0.56709,0.75954,4.2093,8.3018
106,192:R_1LeQOpZ9pat1k7D,2,2.6048,0.027913,0.22797,0.05,1.0521,0.71655,0.45532,0.80322,3.2507,7.5
107,192:R_1LeQOpZ9pat1k7D,3,4.2179,0.0010008,0.36122,0.059056,0.89921,0.7578,0.45326,0.88658,5.0591,9.8205
108,192:R_1LeQOpZ9pat1k7D,4,4.5153,0.0010115,0.56124,0.05038,1.1964,0.683,0.88361,0.63584,5.7217,7.0834
109,192:R_1LeQOpZ9pat1k7D,5,1.144,0.0010001,0.24388,0.050753,0.65056,0.82165,0.75668,1.0674,3.7721,10
110,194:R_24rdiskqYQc7BsO,1,0.22116,0.068723,0.48306,0.056039,1.3313,0.84377,0.89175,0.24577,3.963,9.986
111,194:R_24rdiskqYQc7BsO,2,9.9061,0.91091,0.3004,0.070713,1.1177,0.68662,1.0069,-0.02378,6.8604,9.6096
112,194:R_24rdiskqYQc7BsO,3,10,0.9587,0.24406,0.050709,1.4383,0.90251,0.50197,0.15621,3.8033,8.4123
113,194:R_24rdiskqYQc7BsO,4,0.63914,0.0020283,0.3557,0.10043,1.7587,0.99394,0.67379,-0.54766,4.2918,9.5219
114,194:R_24rdiskqYQc7BsO,5,0.10343,0.16981,0.33122,0.05,1.4406,0.63492,0.56673,0.0049457,4.0815,9.9998
115,196:R_0voL9dLPRpILrS9,1,6.1943,0.030376,0.60407,0.050075,1.3781,1.3113,0.9545,-0.59147,4.9223,4.1434
116,196:R_0voL9dLPRpILrS9,2,0.1,0.0010692,0.0011725,0.050401,3.0534,9.9788,9.9959,-2.4467,-4.9622,-9.9449
117,196:R_0voL9dLPRpILrS9,3,4.7558,0.0039647,0.5826,0.06499,0.75233,0.68581,0.73872,0.011368,4.4207,9.8064
118,196:R_0voL9dLPRpILrS9,4,5.9086,0.10868,0.37427,0.073859,0.25024,1.626,2.2852,0.47363,6.6699,4.8145
119,196:R_0voL9dLPRpILrS9,5,4.8179,0.0052818,0.52602,0.19146,0.70822,1.0028,0.34103,-0.015582,4.7136,9.7073
120,197:R_bqny5leXGykyp0t,1,3.3637,0.99359,0.44575,0.23323,0.25006,0.83625,3.966,1.2342,9.594,9.7634
121,197:R_bqny5leXGykyp0t,2,5.1978,1,0.44604,0.30625,0.27368,0.65918,2.2852,-5.2441,5.8496,-3.0762
122,197:R_bqny5leXGykyp0t,3,4.4021,0.18382,0.4391,0.16789,0.7512,0.39663,1.9737,0.85659,3.3554,2.561
123,197:R_bqny5leXGykyp0t,4,6.4267,0.96367,0.40548,0.23196,0.25263,0.69092,2.8752,-2.8303,9.658,1.5017
124,197:R_bqny5leXGykyp0t,5,3.5386,0.17544,0.53491,0.065194,0.25024,0.53223,3.6523,-0.12207,6.3721,2.168
125,199:R_D1Afhly6eOCY66B,1,9.7472,0.0012438,0.27084,0.051964,0.65294,-0.15408,2.1762,0.54067,6.7943,9.0906
126,199:R_D1Afhly6eOCY66B,2,1.9353,0.048962,0.24677,0.060766,1.1103,0.45686,1.3468,0.67534,3.7078,8.6889
127,199:R_D1Afhly6eOCY66B,3,9.9444,0.0010006,0.28811,0.052609,0.60124,0.028123,2.2539,-0.054823,6.2293,9.9952
128,199:R_D1Afhly6eOCY66B,4,9.9418,0.96208,0.21302,0.050211,0.547,0.46664,2.3353,1.3408,7.5493,9.9474
129,199:R_D1Afhly6eOCY66B,5,1.2357,0.0010066,0.27518,0.05025,0.96042,0.28625,1.2119,0.43213,3.3987,9.5996
130,200:R_1NCzjmN3Hl5r3HF,1,3.2731,0.0040051,0.45122,0.077271,0.4047,0.57781,1.6825,-0.1799,3.4709,8.5112
131,200:R_1NCzjmN3Hl5r3HF,2,9.2224,0.012011,0.61035,0.050225,1.1306,0.46387,1.2891,-0.33203,3.3496,10
132,200:R_1NCzjmN3Hl5r3HF,3,4.512,0.23605,0.25953,0.13431,0.59813,1.0945,0.85075,-0.95454,4.8043,7.4426
133,200:R_1NCzjmN3Hl5r3HF,4,9.9712,0.006611,0.75479,0.056939,1.442,0.61583,2.4311,-0.85148,4.5298,9.1538
134,200:R_1NCzjmN3Hl5r3HF,5,4.468,0.0083756,0.3182,0.050665,0.6592,0.33163,0.70449,0.067468,4.0747,9.9707
135,201:R_3kzZPXnjFGbpt30,1,6.4915,0.0010111,0.36494,0.057868,1.6418,0.58419,1.2314,1.078,4.8527,9.9997
136,201:R_3kzZPXnjFGbpt30,2,1.3378,0.0010114,0.19802,0.052896,0.77133,0.37255,0.85121,0.3523,3.465,9.9368
137,201:R_3kzZPXnjFGbpt30,3,4.1957,0.0010184,0.34855,0.085956,1.0103,0.70897,0.83219,0.19797,3.5369,9.9986
138,201:R_3kzZPXnjFGbpt30,4,3.947,0.0047523,0.27246,0.1132,0.94385,0.6237,0.93815,0.76995,3.7057,9.9887
139,201:R_3kzZPXnjFGbpt30,5,9.9893,0.0010015,0.63702,0.051091,1.4627,0.35687,2.0875,0.91833,7.3696,9.8921
140,202:R_2OHMsGSLXJZG0Bc,1,3.408,0.010405,0.15998,0.070102,1.0436,0.84861,0.98887,0.30505,3.3448,9.7838
141,202:R_2OHMsGSLXJZG0Bc,2,1.9989,0.019989,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10
142,202:R_2OHMsGSLXJZG0Bc,3,2.0448,0.020252,0.47128,0.050087,1.2296,0.82244,1.2083,0.27928,2.9042,9.9605
143,202:R_2OHMsGSLXJZG0Bc,4,1.2831,0.023692,0.17617,0.059022,0.67773,0.8183,0.77121,-0.066009,3.1298,9.9637
144,202:R_2OHMsGSLXJZG0Bc,5,2.8864,0.029563,0.23726,0.057723,0.96274,1.0681,0.87833,0.34432,2.6996,9.0642
145,208:R_2AST2XkjQUqflkc,1,1.44,0.037908,0.23831,0.11416,1.0496,-0.30763,0.94157,-2.1521,3.2813,9.5327
146,208:R_2AST2XkjQUqflkc,2,0.11486,0.98603,0.0007886,0.051175,0.81928,6.8361,-4.9202,7.7086,-8.4737,-7.7025
147,208:R_2AST2XkjQUqflkc,3,0.20739,0.027463,0.27661,0.070365,1.1242,0.142,0.87486,-2.8687,3.1552,8.7913
148,208:R_2AST2XkjQUqflkc,4,9.1679,0.3928,0.33081,0.0629,1.8338,-0.056442,0.65567,-1.9317,2.8118,9.9871
149,208:R_2AST2XkjQUqflkc,5,0.86098,0.17003,0.42895,0.13886,1.4062,-0.31858,1.3483,-2.293,4.6102,9.9395
