,subject,fold,1,2,3,4,5,6,7,8,9,10
64,166:R_9Nac2hjg6u7BlS1,5,1.3289,0.041154,0.41066,0.054183,0.43775,0.39041,1.4818,0.21126,3.8265,8.2956
65,171:R_1Qck2ykGDls2DLz,1,3.743,0.013675,0.36762,0.076222,0.79429,0.72537,0.9747,-0.069393,3.9536,9.9923
66,171:R_1Qck2ykGDls2DLz,2,2.2544,0.022861,0.43773,0.050306,0.90758,0.86857,1.1405,0.21466,2.728,9.993
67,171:R_1Qck2ykGDls2DLz,3,4.7961,0.0058737,0.49898,0.050032,0.62592,1.0656,1.4363,-1.434,4.414,8.0949
68,171:R_1Qck2ykGDls2DLz,4,1.9989,0.019989,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10
69,171:R_1Qck2ykGDls2DLz,5,2.8741,0.16832,0.1718,0.06024,0.49325,1.0322,1.1495,-0.58228,4.1432,9.503
70,175:R_2vjnTMhG0Bpa7wq,1,5.3708,0.0032474,0.20518,0.051163,0.60486,0.6397,0.39327,-0.043681,4.1064,9.5748
71,175:R_2vjnTMhG0Bpa7wq,2,1.9065,0.02743,0.33366,0.064204,1.0861,0.69397,0.91376,0.57671,3.8984,9.9722
72,175:R_2vjnTMhG0Bpa7wq,3,5.2408,0.012921,0.21453,0.0505,0.82691,0.50113,1.1631,-0.27847,4.7209,9.782
73,175:R_2vjnTMhG0Bpa7wq,4,0.24303,0.0010207,0.22135,0.051019,0.78412,0.20114,0.86697,0.54245,3.4757,9.9957
74,175:R_2vjnTMhG0Bpa7wq,5,8.483,0.0041135,0.33233,0.050829,0.69589,0.77053,0.96084,0.31922,4.8951,7.9506
75,179:R_2xV1IwgJyplwuvp,1,12.635,0.41615,0.50389,0.056788,1.168,0.93729,1.686,-4.5785,6.2044,1.8013
76,179:R_2xV1IwgJyplwuvp,2,35.559,0.89769,0.63319,0.33967,0.99061,-1.0803,3.2315,-3.888,9.39,2.145
77,179:R_2xV1IwgJyplwuvp,3,1.1946,0.028826,0.25002,0.28323,0.66578,0.3948,0.88147,-0.99254,2.7258,9.9643
78,179:R_2xV1IwgJyplwuvp,4,1.2161,0.081039,0.41309,0.059586,1.0537,0.058594,1.2158,0.29785,4.3018,9.4141
79,179:R_2xV1IwgJyplwuvp,5,1.7088,0.027839,0.68455,0.058385,1.4806,-0.57431,1.3684,-3.4949,4.1552,9.9936
80,180:R_1OGFPUUh0z8rWBh,1,0.62125,0.84636,0.46613,0.050008,1.449,0.47535,1.1135,-0.66335,5.0256,9.4575
81,180:R_1OGFPUUh0z8rWBh,2,0.19764,0.19603,0.51059,0.051903,1.6494,0.30903,0.94197,-2.5138,4.3621,9.9898
82,180:R_1OGFPUUh0z8rWBh,3,0.86987,0.035705,0.55737,0.058326,1.0779,0.18066,0.7959,-1.0254,4.2188,9.2529
83,180:R_1OGFPUUh0z8rWBh,4,0.61607,0.16745,0.49071,0.05,1.0086,-0.27206,0.8473,-5.1896,4.4803,10
84,180:R_1OGFPUUh0z8rWBh,5,6.5711,0.27728,0.36379,0.070288,1.7391,0.31011,0.89142,-3.7434,7.132,9.8798
85,181:R_3fDgQlApbcv1n4e,1,0.35509,0.0066983,0.0046467,0.050113,0.87714,0.4884,0.41632,0.32337,2.8823,9.6874
86,181:R_3fDgQlApbcv1n4e,2,0.88935,0.0022652,0.17917,0.050511,1.0015,0.30971,0.79414,0.68882,4.0594,9.999
87,181:R_3fDgQlApbcv1n4e,3,47.231,0.96214,0.36841,0.05039,0.87677,0.43102,1.3373,0.6635,6.3188,9.2356
88,181:R_3fDgQlApbcv1n4e,4,0.76452,0.0030567,0.2036,0.08201,0.90093,0.31631,0.75399,0.47165,3.716,9.9969
89,181:R_3fDgQlApbcv1n4e,5,1.3102,0.13945,0.25994,0.052362,1.4666,0.27712,0.81236,0.66326,3.5694,10
90,182:R_3NEgCFlK1BFSmdZ,1,0.36437,0.2336,0.24567,0.05,1.1027,-0.17761,1.2319,0.3095,3.7802,10
91,182:R_3NEgCFlK1BFSmdZ,2,153.71,0.98373,0.33044,0.053345,0.96337,-0.19665,1.8184,0.001049,6.0617,1.9936
92,182:R_3NEgCFlK1BFSmdZ,3,13.869,0.71488,0.23958,0.05596,1.2552,-0.068791,1.5411,0.37324,5.4211,9.0624
93,182:R_3NEgCFlK1BFSmdZ,4,0.72055,0.99871,0.29844,0.050038,1.4544,0.27337,0.92909,-0.089409,3.5006,9.9973
94,182:R_3NEgCFlK1BFSmdZ,5,0.70633,0.13841,0.19199,0.05,1.4254,0.188,0.971,0.2943,3.0475,9.9805
95,183:R_2uPQbPniskmS0Ep,1,0.1908,0.063081,0.44852,0.050004,1.1374,0.47062,1.335,-0.38898,4.2696,9.9892
96,183:R_2uPQbPniskmS0Ep,2,35.93,0.95985,0.4969,0.051077,1.039,0.82452,1.6315,-1.8916,7.0163,8.2902
97,183:R_2uPQbPniskmS0Ep,3,0.12093,1,0.37204,0.050569,0.94728,0.41443,1.1963,0.25818,4.2773,10
98,183:R_2uPQbPniskmS0Ep,4,1142.6,0.98914,0.51846,0.05188,0.98233,0.31707,1.924,-1.7381,7.4051,8.5566
99,183:R_2uPQbPniskmS0Ep,5,43.106,0.99966,0.45536,0.050047,0.88322,0.15111,1.9333,-0.94938,7.7294,2.4183
100,187:R_3oHOHstFKN4HiLA,1,29.691,0.67662,0.064421,0.05,0.73205,-1.1873,1.5116,0.3643,8.6534,6.6708
101,187:R_3oHOHstFKN4HiLA,2,1.0991,0.099406,0.17268,0.05,0.84737,-0.25135,1.0905,0.12012,4.3212,9.8959
102,187:R_3oHOHstFKN4HiLA,3,1.2003,0.052551,0.25968,0.053334,1.0179,-0.63525,1.1623,0.03116,4.1929,9.4661
103,187:R_3oHOHstFKN4HiLA,4,1.1448,0.004493,0.11666,0.050227,1.0006,-0.31218,0.97261,0.20412,3.7087,9.9603
104,187:R_3oHOHstFKN4HiLA,5,0.85861,0.10952,0.25164,0.05,1.0304,-0.31833,1.0404,0.25446,4.4288,9.9965
105,192:R_1LeQOpZ9pat1k7D,1,2.1335,0.0032451,0.38354,0.05361,0.52637,0.61523,0.92773,0.83008,4.6045,10
106,192:R_1LeQOpZ9pat1k7D,2,4.9645,0.0028504,0.44151,0.059498,1.1508,0.67154,0.61447,0.36949,4.6039,9.3318
107,192:R_1LeQOpZ9pat1k7D,3,20.408,0.0063005,0.50371,0.052485,0.93679,0.61381,0.79569,0.12194,4.6324,8.7331
108,192:R_1LeQOpZ9pat1k7D,4,6.4439,0.011224,0.45114,0.052653,1.2658,1.2118,0.44194,0.5936,6.0346,10
109,192:R_1LeQOpZ9pat1k7D,5,86.602,0.010732,0.32209,0.054302,1.0273,0.6503,0.69432,0.06128,8.46,9.9481
110,194:R_24rdiskqYQc7BsO,1,500.47,0.9984,0.54886,0.055643,2.467,0.52006,0.78055,0.13339,9.9973,8.8479
111,194:R_24rdiskqYQc7BsO,2,0.37959,0.015018,0.38381,0.05,1.89,1.0221,0.49058,0.38205,3.671,9.9999
112,194:R_24rdiskqYQc7BsO,3,1.8742,0.57163,0.32929,0.050105,1.2033,0.9071,0.62031,0.31142,5.4598,10
113,194:R_24rdiskqYQc7BsO,4,0.45364,0.17555,0.26385,0.05,1.5653,0.54784,0.63907,0.14271,4.9221,10
114,194:R_24rdiskqYQc7BsO,5,0.41953,0.11617,0.3233,0.050258,1.7101,0.59217,0.62549,0.30073,4.3654,9.9625
115,196:R_0voL9dLPRpILrS9,1,3.7408,0.01401,0.30109,0.18133,0.72715,0.72514,0.48985,-0.14204,6.096,9.895
116,196:R_0voL9dLPRpILrS9,2,3.0609,0.0054871,0.30504,0.13928,0.29722,0.66863,0.11107,0.30131,5.3999,9.7711
117,196:R_0voL9dLPRpILrS9,3,3.566,0.01712,0.28352,0.050417,0.69022,0.62977,0.15282,0.093431,2.518,9.9358
118,196:R_0voL9dLPRpILrS9,4,2.2058,0.0083173,0.44422,0.063955,0.46709,0.7059,0.77877,0.65321,3.7322,9.997
119,196:R_0voL9dLPRpILrS9,5,2.406,0.026801,0.30069,0.05743,0.4123,0.85096,0.80319,0.58943,3.5322,9.6218
