StudyID, 3rdToLast, 2ndToLast, Last, rt3, rt2, rt1
877,10,11,12,2.0436,3.184833333333333,1.639
878,11,10,10,3.249125,1.661,1.95125
883,7,8,9,1.6108333333333333,3.0427500000000003,2.0016666666666665
884,13,13,12,1.43275,2.621625,1.875
889,10,9,9,1.00725,0.935875,1.5971666666666666
890,9,9,10,0.73575,3.247875,1.986
891,12,11,11,2.734384615384615,2.8014285714285716,1.615
892,13,12,11,3.552,1.1932,1.18025
893,12,11,10,1.5274,0.995875,1.3861428571428571
A101,11,12,11,1.51075,1.5,2.554111111111111
A103,10,10,11,2.9525,1.4654,2.5881
A1046,17,17,16,1.0395,2.331875,4.013083333333333
A1052,16,15,14,2.1935555555555553,3.14,2.392375
A1068,10,9,9,2.6555,1.22,2.2158125
A1083,13,12,12,1.8118333333333334,3.738090909090909,1.9568333333333334
A1084,15,16,15,1.04025,2.75275,2.1495
A1088,10,10,9,1.3764,1.30675,2.5621111111111112
A1098,9,8,8,2.7163636363636363,2.7741249999999997,1.6685714285714286
A1099,13,14,13,1.3387499999999999,2.3458571428571426,1.378111111111111
A1107,8,9,10,1.6963333333333332,1.6435,1.2402
A1124,11,11,10,1.9561250000000001,1.8962222222222223,0.4834
A112,15,16,17,4.884111111111111,2.1868333333333334,2.12075
A1142,14,14,15,1.3065,3.705636363636364,3.1174
A1144,10,9,8,1.9143000000000001,1.7416,1.234875
A1145,12,12,13,2.422111111111111,1.2766,1.1680000000000001
A1153,8,8,9,1.3048,1.3325,1.8202222222222222
A1155,10,10,9,1.191,2.1473333333333335,1.8231
A1156,8,8,9,1.36225,1.3038,1.4986666666666666
A1157,8,9,8,1.68425,2.3266666666666667,1.5899999999999999
A115,13,12,12,3.8964999999999996,3.861,3.687333333333333
A1164,13,14,13,2.532857142857143,4.6853,2.08025
A1169,4,4,5,0.9087142857142857,0.8742,0.8428
A1176,17,17,16,3.494222222222222,2.7456666666666667,1.4478
A1177,10,10,11,2.744214285714286,1.357,1.0535
A1183,16,17,16,1.6592500000000001,5.0138750000000005,3.634
A1184,12,12,13,1.055,1.203,1.1274
A1186,6,7,8,1.3475,0.8535,1.2645
A1189,12,12,13,1.5205,3.79325,1.6716666666666666
A1190,15,16,15,1.21725,2.283,3.267
A1195,12,13,12,3.1614444444444443,2.5796666666666668,3.51375
A1198,14,15,14,4.9012,4.585166666666667,1.4552142857142858
A1203,13,14,13,1.5044285714285714,1.3674285714285714,1.3531666666666666
A1218,12,12,13,1.2015,0.72525,1.227
A121,16,16,15,1.441,1.208,2.5326666666666666
A130,13,13,12,3.719888888888889,2.9365714285714284,1.433
A137,13,13,14,0.98175,1.8687142857142858,1.5593333333333335
A139,8,8,9,1.7970000000000002,2.8853750000000002,2.9206
A157,11,11,10,2.338111111111111,1.3364,1.246
A160,11,10,10,0.8366,0.8347142857142857,1.137
A162,12,12,13,2.138875,2.9535714285714287,1.38225
A197,12,13,14,2.6478571428571427,1.617,1.382
A206,15,16,17,1.4415,2.26675,1.7321666666666666
A217,10,10,9,1.9919999999999998,1.560857142857143,1.2951428571428572
A242,17,16,16,1.387125,0.62025,0.9988333333333334
A259,14,13,12,1.81,1.592,1.6072222222222223
A290,12,12,12,1.561,3.3732777777777776,3.0143333333333335
A314,20,20,19,3.5508888888888888,2.0982,1.9674
A337,12,11,11,6.0994,1.2921666666666667,1.5104
A919,15,16,17,3.0836,5.4038571428571425,3.696142857142857
A927,9,8,8,2.656142857142857,1.0122857142857142,1.1755
A953,10,11,12,1.5436666666666667,1.0958333333333334,1.3688
