subject,fold,nll
182-R_3NEgCFlK1BFSmdZ,1,67.5043
182-R_3NEgCFlK1BFSmdZ,2,61.73960000000001
182-R_3NEgCFlK1BFSmdZ,3,69.4913
182-R_3NEgCFlK1BFSmdZ,4,74.12770000000002
182-R_3NEgCFlK1BFSmdZ,5,52.484
183-R_2uPQbPniskmS0Ep,1,44.77269999999999
183-R_2uPQbPniskmS0Ep,2,76.4713
183-R_2uPQbPniskmS0Ep,3,56.77300000000001
183-R_2uPQbPniskmS0Ep,4,66.73219999999999
183-R_2uPQbPniskmS0Ep,5,102.83189999999998
187-R_3oHOHstFKN4HiLA,1,86.0011
187-R_3oHOHstFKN4HiLA,2,77.038
187-R_3oHOHstFKN4HiLA,3,72.63140000000001
187-R_3oHOHstFKN4HiLA,4,74.3876
187-R_3oHOHstFKN4HiLA,5,90.2123
192-R_1LeQOpZ9pat1k7D,1,100.18350000000002
192-R_1LeQOpZ9pat1k7D,2,103.49199999999999
192-R_1LeQOpZ9pat1k7D,3,85.69590000000001
192-R_1LeQOpZ9pat1k7D,4,110.39879999999998
192-R_1LeQOpZ9pat1k7D,5,121.78879999999998
194-R_24rdiskqYQc7BsO,1,68.0937
194-R_24rdiskqYQc7BsO,2,67.0683
194-R_24rdiskqYQc7BsO,3,77.85499999999999
194-R_24rdiskqYQc7BsO,4,71.3134
194-R_24rdiskqYQc7BsO,5,66.1777
196-R_0voL9dLPRpILrS9,1,189.36490000000003
196-R_0voL9dLPRpILrS9,2,153.94010000000003
196-R_0voL9dLPRpILrS9,3,127.02219999999998
196-R_0voL9dLPRpILrS9,4,142.6146
196-R_0voL9dLPRpILrS9,5,144.7204
197-R_bqny5leXGykyp0t,1,170.62459999999996
197-R_bqny5leXGykyp0t,2,166.31039999999996
197-R_bqny5leXGykyp0t,3,170.46680000000003
197-R_bqny5leXGykyp0t,4,171.18369999999996
197-R_bqny5leXGykyp0t,5,161.22129999999993
199-R_D1Afhly6eOCY66B,1,96.78189999999998
199-R_D1Afhly6eOCY66B,2,80.15350000000001
199-R_D1Afhly6eOCY66B,3,114.1824
199-R_D1Afhly6eOCY66B,4,90.7997
199-R_D1Afhly6eOCY66B,5,99.50759999999998
200-R_1NCzjmN3Hl5r3HF,1,134.42719999999997
200-R_1NCzjmN3Hl5r3HF,2,136.9135
200-R_1NCzjmN3Hl5r3HF,3,124.87259999999996
200-R_1NCzjmN3Hl5r3HF,4,124.27829999999997
200-R_1NCzjmN3Hl5r3HF,5,129.0537
201-R_3kzZPXnjFGbpt30,1,124.60939999999997
201-R_3kzZPXnjFGbpt30,2,113.554
201-R_3kzZPXnjFGbpt30,3,96.91649999999998
201-R_3kzZPXnjFGbpt30,4,96.46149999999999
201-R_3kzZPXnjFGbpt30,5,90.0792
202-R_2OHMsGSLXJZG0Bc,1,70.29140000000002
202-R_2OHMsGSLXJZG0Bc,2,80.38839999999998
202-R_2OHMsGSLXJZG0Bc,3,83.0795
202-R_2OHMsGSLXJZG0Bc,4,103.33030000000001
202-R_2OHMsGSLXJZG0Bc,5,77.36139999999999
208-R_2AST2XkjQUqflkc,1,95.10360000000001
208-R_2AST2XkjQUqflkc,2,102.57629999999997
208-R_2AST2XkjQUqflkc,3,86.3143
208-R_2AST2XkjQUqflkc,4,113.02529999999999
208-R_2AST2XkjQUqflkc,5,109.44929999999997
209-R_1esokoelkIOTy89,1,127.87089999999998
209-R_1esokoelkIOTy89,2,119.58339999999995
209-R_1esokoelkIOTy89,3,151.59359999999998
209-R_1esokoelkIOTy89,4,122.49039999999997
209-R_1esokoelkIOTy89,5,144.3193
212-R_OOl4OrOpRgbrLBD,1,60.7889
212-R_OOl4OrOpRgbrLBD,2,59.59739999999999
212-R_OOl4OrOpRgbrLBD,3,83.5479
212-R_OOl4OrOpRgbrLBD,4,67.791
212-R_OOl4OrOpRgbrLBD,5,66.5121
215-R_32R47f1GRrLhRdX,1,138.6478
215-R_32R47f1GRrLhRdX,2,129.3561
215-R_32R47f1GRrLhRdX,3,133.10739999999998
215-R_32R47f1GRrLhRdX,4,165.56380000000001
215-R_32R47f1GRrLhRdX,5,167.48159999999996
216-R_21j62EoiJ63yEJ5,1,85.90910000000001
216-R_21j62EoiJ63yEJ5,2,83.57939999999999
216-R_21j62EoiJ63yEJ5,3,66.80109999999999
216-R_21j62EoiJ63yEJ5,4,79.21419999999999
216-R_21j62EoiJ63yEJ5,5,89.59469999999999
217-R_1JPc2llYzw1ezqs,1,115.6298
217-R_1JPc2llYzw1ezqs,2,118.08799999999997
217-R_1JPc2llYzw1ezqs,3,119.60009999999997
217-R_1JPc2llYzw1ezqs,4,117.59539999999997
217-R_1JPc2llYzw1ezqs,5,125.49019999999999
221-R_2wvlbfkxX6e4M29,1,108.78930000000001
221-R_2wvlbfkxX6e4M29,2,90.97809999999997
221-R_2wvlbfkxX6e4M29,3,103.27949999999996
221-R_2wvlbfkxX6e4M29,4,83.9609
221-R_2wvlbfkxX6e4M29,5,86.5093
226-R_2X10rcLujzFpHxv,1,123.07779999999998
226-R_2X10rcLujzFpHxv,2,94.33329999999997
226-R_2X10rcLujzFpHxv,3,93.76899999999998
226-R_2X10rcLujzFpHxv,4,98.26670000000001
226-R_2X10rcLujzFpHxv,5,86.29340000000002
227-R_2qlLx30lmNEXUJL,1,131.28359999999998
227-R_2qlLx30lmNEXUJL,2,145.24930000000003
227-R_2qlLx30lmNEXUJL,3,152.16770000000002
227-R_2qlLx30lmNEXUJL,4,155.04909999999998
227-R_2qlLx30lmNEXUJL,5,151.54659999999998
228-R_ULyuWg2JwZBuGiJ,1,96.69529999999997
228-R_ULyuWg2JwZBuGiJ,2,91.0223
228-R_ULyuWg2JwZBuGiJ,3,99.2675
228-R_ULyuWg2JwZBuGiJ,4,124.80449999999996
228-R_ULyuWg2JwZBuGiJ,5,95.7605
229-R_3KxYOzYEKloODvs,1,79.7063
229-R_3KxYOzYEKloODvs,2,81.5262
229-R_3KxYOzYEKloODvs,3,89.10340000000002
229-R_3KxYOzYEKloODvs,4,71.6998
229-R_3KxYOzYEKloODvs,5,62.354299999999995
230-R_28G5rUmynDONqbJ,1,77.62859999999999
230-R_28G5rUmynDONqbJ,2,74.85249999999999
230-R_28G5rUmynDONqbJ,3,59.156099999999995
230-R_28G5rUmynDONqbJ,4,85.71969999999997
230-R_28G5rUmynDONqbJ,5,83.31269999999999
231-R_2QRpawEy8w6txvN,1,66.6576
231-R_2QRpawEy8w6txvN,2,56.60750000000001
231-R_2QRpawEy8w6txvN,3,53.70400000000001
231-R_2QRpawEy8w6txvN,4,55.6041
231-R_2QRpawEy8w6txvN,5,61.65870000000001
236-R_24qFUPTZKx0SybQ,1,215.30999999999995
236-R_24qFUPTZKx0SybQ,2,219.59750000000005
236-R_24qFUPTZKx0SybQ,3,221.66609999999986
236-R_24qFUPTZKx0SybQ,4,220.03149999999968
236-R_24qFUPTZKx0SybQ,5,217.87560000000005
242-R_12lQaNUgCpqQizh,1,88.541
242-R_12lQaNUgCpqQizh,2,99.1998
242-R_12lQaNUgCpqQizh,3,97.68729999999998
242-R_12lQaNUgCpqQizh,4,92.4722
242-R_12lQaNUgCpqQizh,5,100.8334
