subject,nll,nll1,nll2,nll3,nll4,nll5
866-R_31YEgt5MqfcfZMC,593.4082,126.09749999999998,126.2508,110.92579999999997,122.6664,107.46769999999997
868-R_3fr4BoB7aWIvPgR,528.9953,122.21889999999999,98.78819999999999,118.85979999999999,105.18429999999998,83.94409999999999
869-R_1ISnTo9jrXyYo7m,500.3232,114.07909999999997,104.0189,112.94260000000001,85.4085,83.87409999999998
870-R_2xVJtapsa8AgCqQ,331.0038,74.46460000000002,64.7123,51.9853,67.6835,72.1581
872-R_3qROiZsEr7Bcg5H,535.2499999999999,112.60409999999996,99.55879999999999,103.12369999999999,101.40539999999997,118.55799999999996
874-R_1odMCxxk6eeEibU,586.893,122.34340000000002,122.4009,120.76619999999997,104.99530000000001,116.38719999999998
875-R_sRIghBHHMf7ejap,548.4913,89.79679999999998,108.58040000000001,120.00869999999998,117.53480000000002,112.57059999999998
876-R_2EoXmGjYUQr2dur,417.0526,72.34179999999999,84.9475,83.56739999999999,93.3794,82.81649999999999
877-R_3OdnHFXpuFf8un0,469.7111,84.54819999999998,112.5699,92.8031,87.1213,92.66859999999997
878-R_1oj3N9paNMQNcBO,375.64309999999995,76.34849999999999,77.4727,77.2242,75.4294,69.1683
883-R_b255PQj1bstkMjD,561.8287999999999,131.18429999999995,105.47810000000001,112.47229999999999,117.38929999999999,95.30479999999997
884-R_1GV2s0YumCvk7mL,467.1130999999999,106.53179999999996,77.50580000000001,95.04219999999998,79.00250000000001,109.03079999999997
889-R_1lbZpf1sOuV5qV6,470.91169999999994,93.38239999999998,82.113,99.13059999999999,99.30689999999998,96.97879999999998
890-R_3k6BHPoEBivOVoU,538.6535999999999,102.40050000000001,79.60379999999998,101.43019999999999,134.10699999999994,121.11209999999996
891-R_4ZvxGd3B7j8Ow4F,545.8444,104.64189999999998,108.71230000000001,112.76319999999998,104.76780000000002,114.95919999999998
892-R_2s1049Oc450dUTh,483.5175,129.11769999999999,78.0802,88.7188,83.9037,103.69709999999999
893-R_0UL4gyg02Zovjjz,437.7105,84.3242,82.58980000000001,98.04019999999998,77.43730000000001,95.319
